firstname;male;female
ambroisine;20;3597
sulpice;3344;245
placide;2930;608
siméon;3508;11
félicien;3464;17
francine;8;3455
luce;33;3388
richard;3394;14
jacquemine;6;3391
quirin;3368;7
anais;17;3355
napoléon;3331;16
paulin;3331;10
clovis;3286;23
fernande;10;3293
alix;410;2869
aristide;3229;45
olympe;204;3070
alcide;3148;69
roch;3188;14
lucienne;16;3180
émilie;11;3143
anthelme;3087;19
apolline;6;3099
brice;3062;23
palmyre;202;2863
ludivine;12;3052
sébastienne;3;3061
fleury;2928;106
noémie;10;3013
peter;3000;14
leon;2985;10
athanase;2826;157
rene;2949;25
melchior;2956;15
fiacre;2739;230
remy;2943;14
zacharie;2890;66
hermance;9;2931
hypolite;2630;286
flavie;1;2899
gilette;12;2875
marcelin;2861;7
colette;5;2857
victoria;5;2822
celestine;11;2812
tanguy;2797;8
emilienne;13;2740
dieudonné;2690;38
johann;2704;5
amé;2643;22
prudent;2652;9
régine;6;2655
hector;2637;4
médard;2619;13
gillette;2;2617
jérome;2608;9
zélia;2;2602
gratianne;6;2581
raymonde;7;2579
fleurie;18;2557
georg;2541;4
maximin;2516;7
amandine;2;2512
magloire;2399;92
cecile;19;2441
eva;4;2456
jenny;11;2446
celestin;2440;14
bénigne;1340;1107
pernette;2;2434
élise;11;2417
étiennette;2;2416
raphaël;2404;9
humbert;2400;8
emélie;6;2395
balthazar;2385;7
helene;19;2357
morand;2366;7
boniface;2334;13
guilhaume;2326;15
joannes;2299;22
ludovic;2309;7
théodule;2253;56
fidéline;6;2294
claudette;1;2294
louisa;11;2273
scolastique;43;2238
fille;24;2250
conrad;2265;7
pacifique;509;1749
gracieuse;2;2247
balthazard;2244;4
francis;2234;13
héloise;9;2236
ismérie;15;2215
josette;3;2224
libaire;61;2156
eloy;2183;14
euphroisine;9;2184
silvaine;3;2178
appolonie;10;2165
claudia;1;2172
sicaire;2124;43
enfant;1801;347
quentin;2137;4
barnabé;2104;5
emilande;5;2103
fortuné;2052;56
josèphe;47;2061
malvina;9;2098
juste;1641;460
barthélemy;2071;10
frederic;2072;8
fabien;2057;6
bruno;2048;6
léonce;1780;273
michael;2015;7
saturnin;2013;8
ange;1862;158
agnes;11;1986
norbert;1991;6
engrace;11;1980
symphorien;1984;4
laurens;1931;28
ponce;1934;17
toussainte;5;1946
christina;6;1944
honorée;11;1938
roland;1900;9
adele;8;1899
salvat;1884;10
armandine;7;1878
aglaé;7;1841
fidèle;1736;110
guillaumette;2;1843
ennemond;1822;4
esprit;1803;19
georgine;3;1818
calixte;1722;90
angélina;1;1789
petronille;10;1771
thiébaut;1772;8
andréanne;4;1774
radégonde;3;1747
melanie;14;1723
lydie;3;1733
omer;1729;5
aldegonde;7;1717
michèle;5;1705
philomene;17;1690
mauricette;4;1697
vivant;1688;8
clothilde;4;1690
ulysse;1676;10
séverin;1678;7
nestor;1680;4
élisa;9;1669
amelie;6;1661
jeannie;4;1662
nicolle;1;1661
clemence;8;1653
zulma;21;1640
béatrice;4;1647
leonarde;5;1645
éléonore;44;1599
anthelmette;2;1623
bonnet;1613;8
andreas;1595;13
jérémie;1553;55
euphémie;9;1597
wendelin;1579;20
frédérique;111;1474
constantine;6;1577
bonne;3;1577
gasparde;2;1575
elophe;1555;18
antonia;4;1561
prigent;1544;5
prix;1528;6
roze;8;1523
augusta;5;1523
antonio;1519;3
esv;988;532
clement;1505;12
guislain;1512;5
blandine;1;1514
ursin;1511;4
katharina;5;1500
sainte;5;1498
amans;1466;9
élie;1394;70
donat;1423;21
eusèbe;1403;39
leonie;8;1430
appolinaire;1375;61
sylvine;5;1426
emelie;4;1418
philbert;1413;9
cyr;1409;7
delphin;1390;13
lucile;6;1397
barthélémi;1396;5
heinrich;1393;6
généreuse;1;1394
hamon;1388;4
adelphine;3;1388
noëlle;0;1389
perpétue;11;1374
franceline;1;1378
zéphirin;1369;7
ida;8;1361
joannès;1357;12
onésime;1170;196
irénée;1019;344
carolina;2;1358
bernardin;1351;7
eugènie;6;1347
mary;960;386
tugdual;1342;3
nathan;1324;4
angéline;1;1322
mansuy;1317;2
léonide;196;1119
jerome;1302;5
gengoult;1300;6
léandre;1196;109
josèphine;6;1285
joanny;1249;38
alban;1282;4
florian;1277;7
ludwig;1279;2
odette;7;1263
arnould;1256;5
clementine;5;1256
antonine;9;1245
nicolarde;5;1248
armande;3;1243
eleonore;33;1211
susanne;4;1240
eugéne;1217;23
barthélémie;86;1152
victorin;1222;9
chrisostome;1219;10
emilien;1221;8
robertine;3;1221
thiebaut;1217;7
uranie;6;1216
georgina;5;1216
herve;1217;2
veronique;6;1211
theodore;1191;24
peronne;6;1205
victorien;1206;4
fridolin;1195;10
leopold;1203;2
coralie;5;1199
angeline;2;1199
ildephonse;1161;38
francisque;1172;25
karl;1184;5
pancrace;1184;4
donatien;1183;1
albin;1178;3
josephe;55;1118
eliza;6;1166
perinne;1;1171
aurore;18;1152
eloise;1;1166
anthoine;1148;12
mélina;2;1157
alida;7;1150
gratien;1152;5
armantine;6;1147
romaine;2;1150
lucrèce;2;1148
durand;1140;5
elodie;8;1126
sauveur;1122;2
zéphir;1108;16
sarah;3;1119
adelina;0;1121
huguette;1;1119
roseline;1;1119
philipp;1114;3
hilarion;1101;8
balthasar;1101;4
agnan;1095;8
francesco;1095;7
baptistine;3;1094
dominiquette;2;1095
alois;1088;8
isaie;960;133
bénoni;1083;1
sophia;1;1071
catherin;1058;12
charlette;2;1067
eudoxie;3;1058
clair;1027;31
renee;5;1049
giovanni;1046;6
valburge;7;1045
marion;30;1013
guénolé;1029;5
matthieu;1029;3
célinie;5;1026
giuseppe;1023;4
pardoux;1023;4
leger;1023;3
geoffroi;1021;3
cosme;1015;6
silvie;8;1013
salome;4;1014
sicarie;0;1016
mathie;3;1011
dominica;4;1007
raimond;1010;1
stéphane;977;30
sigisbert;994;5
thiébaud;998;1
celine;5;990
anasthasie;4;988
thérése;2;988
rodolphe;986;3
séraphie;1;988
célénie;3;977
fulcrand;973;7
thérèze;4;969
armance;4;967
domenico;963;1
elvire;14;950
blaize;900;58
desire;948;6
celina;6;944
geoffroy;941;5
patrice;934;12
alexisse;8;936
archange;481;462
irène;16;926
espérance;44;893
del;932;4
natalie;9;925
nanette;3;929
léopoldine;6;925
fideline;1;925
amédé;919;5
nelly;3;918
bathilde;16;899
gatien;911;2
francisca;6;904
raphael;905;5
opportune;2;907
emilia;0;907
lucas;903;2
josephus;902;2
colomban;897;5
isidor;898;3
vrain;897;4
just;881;4
liévin;881;4
seraphine;9;876
béatrix;1;883
gracy;4;880
eutrope;849;34
didière;1;879
nicolaus;875;3
perrette;1;873
joachime;44;825
alexise;4;862
valéry;842;24
angele;5;860
privat;858;5
benoist;853;6
marceau;855;4
félicitée;3;855
lucia;34;824
louison;46;811
arthémise;8;845
aignan;848;4
armel;844;8
servais;849;3
rufine;3;842
apoline;6;835
theophile;833;8
caspar;837;2
druon;833;6
gregoire;833;4
aron;833;3
albine;1;834
bernadette;2;833
lina;3;832
leontine;4;828
nazaire;777;55
anastase;201;630
pascaline;5;822
friedrich;819;3
nicaise;806;16
euphrasine;2;817
bonnaventure;663;155
gildas;811;5
romary;811;3
valbert;813;1
peyronne;5;804
albéric;804;4
geraud;805;0
marine;4;801
sezny;793;12
anastasia;3;801
diebold;798;4
dauphine;6;794
ovide;770;28
anaise;4;793
bazile;769;26
hermine;5;790
rebecca;0;793
apollonie;2;789
felicite;6;785
meinrad;789;2
védastine;3;786
élizabeth;0;786
elisée;652;132
urbaine;1;774
ève;1;771
julitte;0;770
mn;567;201
fils;753;14
christienne;0;764
émiland;764;0
samson;757;6
savinien;762;1
clotaire;742;17
thomasse;3;756
carl;756;1
vendelin;750;7
aubine;2;753
gracie;1;752
séverine;3;749
efflam;747;2
benigne;414;329
rigobert;739;3
nancy;2;738
maurise;1;738
moyse;735;4
anton;736;2
jullien;732;6
stephanie;3;723
fulgence;655;66
aprône;6;714
laurentine;2;712
ferréol;707;4
angelina;2;708
mayeul;706;2
remi;704;1
denys;700;4
marx;700;1
babette;1;699
amanda;3;694
clet;690;5
matthias;692;1
agnés;5;685
chretien;686;4
edith;1;686
éloi;681;3
adonis;662;20
herminie;4;677
josué;677;2
ursula;0;678
clarice;6;670
nikolaus;672;4
eustelle;1;673
jonas;672;1
anatoile;501;169
carlos;664;3
rosette;1;665
silvestre;656;8
joachine;9;653
olga;2;657
virgile;647;11
rosina;0;657
thiebaud;654;2
sigismond;650;3
lorentz;648;4
pietro;644;2
lubin;643;1
martiale;2;640
césaire;589;52
bénédicte;8;632
domitille;2;638
angela;1;638
jeanneton;5;633
fortunée;6;631
lisa;1;636
palmire;65;571
jakob;629;1
zénaide;4;626
théobald;627;2
andréa;57;569
junien;622;3
adéle;5;619
fanie;8;615
gentien;620;3
flavien;619;3
héléne;5;617
wilhelm;615;2
aaron;614;2
damas;607;8
florimonde;1;612
gratian;610;0
thumette;0;609
elisabetha;0;608
brigide;4;600
mathis;603;0
sévère;400;203
adelle;2;600
clauda;6;596
mélaine;568;32
simonne;3;596
ferdinande;1;597
floris;587;11
polycarpe;569;28
seraphin;594;3
martialle;2;594
francesca;0;594
izabeau;6;588
périnne;1;593
baruch;573;18
hortence;5;584
parfait;588;1
cerf;587;0
godefroy;581;4
bastien;580;2
antonius;578;2
arbogast;576;4
noé;567;9
anicet;566;9
cordule;7;567
gédéon;572;2
marguerithe;4;570
edgard;566;3
laetitia;2;565
léo;562;5
cyriaque;559;7
jacque;559;3
manuel;559;2
emery;554;6
antide;552;6
légère;5;553
erasme;553;0
juvénal;550;2
gracianne;1;546
héléna;0;546
lazard;534;4
pelagie;3;535
vivande;1;535
honore;530;5
domitilde;12;522
pascale;4;530
cuny;524;7
franz;527;3
thierry;525;3
apollinaire;505;22
pulchérie;5;517
patern;519;2
timothée;501;20
pantaléon;520;0
perrinne;1;519
mayer;514;5
agathon;512;6
léonore;49;469
quintien;517;1
guérin;513;4
desle;483;32
scipion;514;1
ténénan;511;2
vitaline;2;511
maudez;505;7
mariane;3;508
meyer;497;14
thuriau;508;3
laurian;505;4
hyppolyte;493;14
aglaée;2;503
bertin;502;3
crépin;503;2
sylvaine;0;505
silvin;500;4
cornélie;8;494
felicie;5;497
horace;499;1
evre;481;18
petrus;493;6
celeste;57;439
régina;2;494
maxence;215;280
fanchette;3;491
lucine;1;492
renaud;489;4
adolphie;4;488
fidel;489;2
hydulphe;487;4
abdon;489;1
dina;3;486
walburge;6;482
florestine;4;482
numa;459;27
domenge;24;461
eglantine;3;481
valère;411;70
josepha;1;479
cunégonde;2;477
noyale;0;479
william;478;1
regina;1;477
fleurine;1;475
gerard;474;2
paterne;407;68
alcidie;2;470
chrysostome;468;3
geneviéve;2;469
restitude;5;464
phalier;462;4
guillermine;1;464
johanna;1;459
benoni;448;11
wendel;458;0
émilienne;0;457
mélie;0;457
michelette;2;455
damiane;0;456
théodorine;0;455
emil;449;5
amant;451;2
corneille;441;11
vivand;450;1
ronan;448;2
émélie;1;447
evrard;444;4
yolande;2;446
eusice;445;1
lise;2;444
bon;444;1
hippolite;416;29
iréné;413;31
jonathan;442;1
romble;440;3
hermann;439;3
azéma;5;434
ligier;436;2
philémon;435;3
max;434;3
placidie;1;436
nabord;435;0
gottfried;431;2
matteo;432;1
melaine;416;17
memmie;403;30
zoe;1;430
côme;418;11
marianna;0;427
albanie;5;421
géry;425;0
paschal;424;0
theresia;0;424
emmanuelle;2;419
philogène;385;35
cesar;417;2
damienne;0;419
lion;416;3
evariste;410;8
antonie;23;394
omérine;1;416
gangolf;414;1
guyonne;1;414
maurisaz;2;411
zelie;3;408
rozalie;3;406
innocent;405;1
virgine;3;403
sosthène;393;12
honorat;400;4
maximilienne;2;402
émilande;1;401
saturnine;0;401
philoméne;6;394
andrea;308;91
barthelemi;396;2
helena;0;396
guigner;393;2
reymond;395;0
jeane;5;389
thibaut;392;2
walbourge;7;386
adélina;1;391
nonne;5;385
gorgon;386;2
minette;1;386
paolo;387;0
pol;382;5
thibault;387;0
bertha;0;386
edgar;385;0
salomée;0;384
damase;365;16
noelle;1;380
léona;2;378
mammès;378;2
arsene;343;36
théotiste;31;348
yvon;379;0
faustin;376;2
anthime;360;16
argentine;1;375
michele;167;208
christiane;3;371
procule;7;367
anatolie;2;370
aubert;370;2
gasparine;0;372
karolina;0;372
médéric;370;1
balbine;1;368
magdelène;0;369
reyne;6;362
catarina;0;366
claudinette;3;362
emerance;4;361
grat;360;5
arnoux;355;9
tranquille;321;43
austreberthe;1;362
fiacrette;2;361
dorothea;1;361
suzette;0;362
jacobus;357;4
clodomir;354;6
malo;354;6
vidal;357;2
andréas;347;8
materne;331;24
napoleon;354;1
marié;337;16
estiennette;2;350
regine;2;350
flora;0;351
susanna;0;351
james;350;0
guilhem;347;1
joanna;2;346
bartholomé;344;3
françon;5;342
pétrus;344;3
elysabeth;1;345
franciscus;344;2
firmine;0;345
jane;2;343
lazarine;1;344
ondoyé;329;16
ennemonde;1;342
félicienne;0;343
santa;1;342
sebastienne;1;342
israël;340;2
tudy;340;1
cléophas;290;50
mardochée;338;2
mathive;1;339
agatha;3;336
alixe;14;325
pons;337;2
wilhelmine;1;338
adéline;0;338
angéle;1;337
amaury;334;3
ruffine;2;335
aime;322;14
santo;336;0
maddalena;0;335
zéphirine;0;335
dieudonnée;4;330
quitterie;1;333
sans;263;70
elmire;19;313
onézime;284;47
odilia;2;326
poncette;1;325
salvy;320;6
theobald;325;1
oswald;324;0
guinot;322;0
zénobie;4;318
girons;318;2
loup;316;4
élophe;318;1
kléber;316;3
cyprienne;2;315
pironne;0;316
aléxis;310;4
ghislain;313;1
pompée;44;270
thècle;12;301
amateur;311;1
margarethe;0;312
sv;204;108
floride;55;256
trémeur;309;2
vincelette;1;310
xavière;0;311
thibaud;310;0
elias;307;2
véran;309;0
walbourg;6;302
cornil;307;0
juliana;0;305
pasquale;299;5
candide;59;243
grace;2;300
hélaine;1;301
philiberthe;1;301
thiebault;300;1
amélia;0;300
gall;299;1
hanna;1;299
rambert;300;0
anthoinette;2;297
elzéar;299;0
leocadie;0;299
regis;296;2
sixte;287;11
alanette;2;295
gaudérique;293;4
fort;292;4
hubertine;1;294
zelia;0;295
apolonie;1;293
athalie;0;293
blaisine;0;293
cesarine;0;293
florie;17;276
hipolite;264;29
dimanche;31;261
hyacinte;193;99
ester;12;279
gaëtan;290;1
maxellende;3;288
giovanna;1;289
genest;288;1
maurize;3;286
montaine;5;284
ollive;1;288
thimothée;265;24
géran;287;1
sylvanie;1;287
fany;1;286
giacomo;287;0
gonzague;285;2
john;286;1
ulrich;287;0
g;282;4
périne;0;286
aliette;1;284
andoche;282;3
antoni;281;4
giraud;283;1
severin;282;2
bonnette;1;282
cantien;283;0
génie;22;260
junie;3;278
azeline;0;280
bertranne;1;278
fénelon;278;1
ghislaine;1;276
janvier;277;0
éloy;273;2
généreux;274;1
perette;1;274
protais;275;0
romuald;273;2
august;273;1
epiphane;242;32
valérien;274;0
amicie;0;273
aspasie;1;272
emerence;2;271
félicia;0;273
benoiste;0;272
cécilia;3;269
donatienne;1;271
aloys;264;7
brunette;2;269
psv;224;47
armelle;2;268
elvina;0;270
gervaise;5;263
aimee;0;265
foy;4;260
giulia;0;264
laurentius;263;0
léobon;260;2
gérald;261;0
marta;0;261
rossoline;0;261
siffrein;261;0
arnold;258;2
benjamine;0;260
desiree;2;258
hiacinthe;141;119
simeon;259;1
violette;12;248
artémise;3;256
honnoré;259;0
procope;257;2
rosalia;0;259
eucher;256;2
mélitine;0;258
zénon;251;7
emerentienne;0;257
modestine;0;257
od;177;80
prospère;135;122
catharine;1;255
morice;245;10
tristan;255;0
medard;250;4
prospérine;1;253
carlo;252;1
christmann;253;0
jaquette;1;252
josse;249;4
perpetue;3;250
philogone;234;19
anathalie;0;252
thiébault;252;0
ursuline;1;251
toussaine;1;250
catherina;1;249
honorade;3;247
azélie;0;249
baptistin;247;2
chaffrey;247;2
fleurette;1;248
fleurisse;151;98
aurelie;2;246
fulgent;248;0
hermence;2;245
ludovicus;244;3
philippa;1;246
edwige;1;244
gaspar;244;1
quintienne;0;245
bravy;243;1
dorothee;2;242
franziska;6;238
paulette;2;242
pélerin;243;1
aymar;243;0
cirgues;240;3
lucette;0;243
denize;3;239
féréol;237;5
patrocle;240;2
urbane;1;241
gustine;1;240
saintin;241;0
bénédictine;1;239
edmee;3;237
jeanette;1;239
vinoc;236;4
lucresse;1;238
appolline;1;237
stefano;238;0
florimont;236;1
hercule;230;7
odille;19;218
vindicien;237;0
vitale;34;203
dagobert;234;2
lorenz;235;1
vérain;236;0
natale;231;4
odilon;229;6
alexine;0;234
lea;2;232
lehmann;234;0
lucy;1;233
annie;2;231
evelina;1;232
jude;224;9
saubade;2;229
sebastian;231;0
simphorien;231;0
thérese;1;230
eléonor;183;47
félice;11;219
lucille;3;227
abigail;3;226
adrian;227;2
nunzia;3;226
phanie;2;227
rachelle;0;229
bartolomeo;228;0
ismerie;2;226
ermance;2;225
f;23;204
fortunat;223;4
jeanny;8;219
lievin;227;0
thomase;3;224
felicité;3;223
jaoua;225;1
nonce;170;56
odon;223;2
policarpe;200;25
caprais;223;1
annonciade;0;223
bienaimé;221;2
joachin;223;0
almire;184;38
crespin;220;2
dauphin;221;1
élodie;0;222
myriam;0;222
trophime;209;13
bibiane;0;221
luigi;221;0
orélie;0;221
angèlique;0;220
arcade;207;13
beatrix;4;216
léonor;209;11
nn;137;83
dorothé;8;211
eliane;0;219
patient;219;0
sydonie;3;216
venant;219;0
adelphe;186;32
cécille;0;218
émilien;216;2
jehan;217;1
carolus;214;3
guilhaumette;0;217
agne;3;213
cyril;215;1
elisé;200;16
felicien;213;3
isbergue;7;209
anette;1;214
dominico;214;1
liévine;3;212
teresa;0;215
diane;1;213
télesphore;213;1
amélina;0;213
josef;211;2
tobie;209;4
alzire;25;187
gaudens;210;2
hortance;0;212
lisette;1;211
ludan;211;1
athénais;8;203
elina;1;210
gérand;211;0
isaure;9;202
théodora;0;211
franois;210;0
juvenal;210;0
thais;5;205
valerie;5;205
hedwige;0;209
pierette;0;209
prudente;0;209
polonie;1;206
aurélien;206;0
hans;205;1
hélie;175;31
denyse;1;204
jouan;204;1
pérrine;0;205
zélina;1;204
auger;203;1
mamert;204;0
noemie;1;203
helène;1;202
izaac;203;0
zulmée;0;202
balthazarde;2;199
carmen;1;200
fleurentine;1;200
nephtali;199;2
urbanne;1;200
guillelmine;0;200
martino;200;0
valery;188;12
éloise;4;195
ursulle;1;198
deile;188;10
domengea;2;196
héleine;1;197
arnoult;196;1
concorde;1;196
etienette;2;195
férréol;196;1
désir;194;2
émelie;0;194
floribonne;2;192
fuscien;194;0
gouesnou;194;0
judas;192;2
jullienne;1;193
ladislas;193;1
marieanne;1;193
walburga;0;194
jacobée;3;190
nicholas;193;0
wilfrid;189;4
anonime;118;74
brévalaire;190;1
chantal;0;191
gilonne;0;191
imbert;191;0
martha;1;190
maryvonne;0;191
valérine;0;191
desiré;188;2
izabelle;0;190
julianne;1;189
lié;189;1
ottilia;1;189
savine;2;188
aglaë;0;189
alexina;1;188
méliau;188;1
perine;2;187
saveria;0;189
alberte;1;187
crescence;3;185
elysée;174;14
guislaine;0;188
antony;185;2
archambaud;186;1
ciprien;187;0
salomea;0;187
stephan;185;2
toussine;0;187
agénor;183;3
emanuel;186;0
emée;3;183
ignazio;186;0
mathieux;185;0
adélaîde;1;183
aymard;183;1
faustine;1;183
méry;171;13
veran;182;2
alphée;170;13
divine;1;181
eugen;181;1
hélèna;0;182
lionel;182;0
maurille;167;15
etiennaz;0;181
frumence;124;57
paulus;181;0
tomaso;180;1
crésence;0;180
guillain;179;1
vivien;180;0
berthilde;0;179
france;46;133
bernhard;177;1
caterina;0;178
cézarine;0;178
gérôme;176;2
mari;167;11
rustique;145;33
floria;5;172
herman;177;0
mina;0;177
anaclet;174;2
chartier;176;0
franã§ois;174;2
myrtil;171;5
sénateur;175;1
victorice;155;21
alvina;0;175
appollonie;0;175
hypolitte;158;17
laura;1;174
rieul;175;0
roberte;0;175
thimotée;166;9
agostino;174;0
chrisoline;0;174
clère;0;174
saubat;172;2
