firstname;male;female
ABDELHEDI;24;0
ABDELHOUAB;39;0
ABDELILAH;381;0
ABDELILLAH;161;0
ABDELJABAR;29;0
ABDELJALIL;510;0
ABDELJALILE;20;0
ABDELJALLIL;26;0
ABDELJAWAD;23;0
ABDELKABIR;20;0
ABDELKADER;10168;0
ABDELKAMEL;24;0
ABDELKARIM;1531;0
ABDELKARIME;34;0
ABDELKEBIR;25;0
ABDELKERIM;30;0
ABDELKHADER;48;0
ABDELKHALEK;65;0
ABDELKRIM;2425;0
ABDELKRIME;81;0
ABDELLA;97;0
ABDELLAH;2834;0
ABDELLALI;54;0
ABDELLATIF;617;0
ABDELLAZIZ;148;0
ABDELMADJID;366;0
ABDELMAGID;90;0
ABDELMAGIDE;20;0
ABDELMAJID;838;0
ABDELMAJIDE;24;0
ABDELMALEK;872;0
ABDELMALIK;939;0
ABDELMATINE;25;0
ABDELMOUJIB;23;0
ABDELMOULA;41;0
ABDELMOUMEN;102;0
ABDELMOUMENE;40;0
ABDELMOUNAIM;48;0
ABDELNACER;89;0
ABDELNASSER;157;0
ABDELNOR;77;0
ABDELNOUR;261;0
ABDELOIHAB;31;0
ABDELOUAB;44;0
ABDELOUAHAB;225;0
ABDELOUAHAD;27;0
ABDELOUAHEB;49;0
ABDELOUAHED;99;0
ABDELOUAHID;52;0
ABDELOUHAB;99;0
ABDELRAHIM;339;0
ABDELRAHMAN;496;0
ABDELRAHMANE;409;0
ABDELRAHMEN;87;0
ABDELRAHMENE;25;0
ABDELRAHNI;22;0
ABDELRAMAN;22;0
ABDELRAMANE;38;0
ABDELRANI;303;0
ABDELRAOUF;96;0
ABDELRAZAK;97;0
ABDELRAZEK;40;0
ABDELREZAK;62;0
ABDELRHAMAN;20;0
ABDELRHAMANE;23;0
ABDELRHANI;42;0
ABDELSALAM;39;0
ABDELSALEM;68;0
ABDELSAMAD;141;0
ABDELSLAM;22;0
ABDELSSAMAD;32;0
ABDELTIF;120;0
ABDELWADOUD;54;0
ABDELWAHAB;310;0
ABDELWAHAD;32;0
ABDELWAHEB;79;0
ABDELWAHED;58;0
ABDELWAHID;117;0
ABDELWAKIL;64;0
ABDENABI;36;0
ABDENACER;33;0
ABDENASSER;79;0
ABDENBI;131;0
ABDENNASSER;25;0
ABDENNOUR;223;0
ABDENOR;113;0
ABDENOUR;455;0
ABDER;21;0
ABDERAHIM;339;0
ABDERAHIME;41;0
ABDERAHMAN;530;0
ABDERAHMANE;740;0
ABDERAHMEN;89;0
ABDERAHMENE;36;0
ABDERAMAN;44;0
ABDERAMANE;61;0
ABDERAOUF;44;0
ABDERAZAK;132;0
ABDERAZZAK;20;0
ABDEREMANE;52;0
ABDEREZAK;58;0
ABDERHAMAN;39;0
ABDERHAMANE;122;0
ABDERRAHIM;766;0
ABDERRAHIME;47;0
ABDERRAHMAN;855;0
ABDERRAHMANE;1913;0
ABDERRAHMEN;120;0
ABDERRAHMENE;32;0
ABDERRAMANE;32;0
ABDERRAOUF;66;0
ABDERRAZAK;245;0
ABDERREZAK;65;0
ABDERRHAMANE;63;0
ABDERZAK;33;0
ABDESALAM;23;0
ABDESALEM;28;0
ABDESAMAD;84;0
ABDESLAM;350;0
ABDESLAME;23;0
ABDESLEM;141;0
ABDESSALAM;114;0
ABDESSALEM;125;0
ABDESSAMAD;793;0
ABDESSAMADE;57;0
ABDESSAMED;54;0
ABDESSATAR;23;0
ABDESSELAM;75;0
ABDESSELEM;79;0
ABDESSLAM;90;0
ABDESSLEM;41;0
ABDI;59;0
ABDIAS;58;0
ABDIL;42;0
ABDILLAH;122;0
ABDILLAHI;35;0
ABDIRAHMAN;39;0
ABDLAZIZ;23;0
ABDNOUR;37;0
ABDO;25;0
ABDOLLAH;56;0
ABDON;768;101
ABDONIE;0;22
ABDONISE;0;30
ABDOOL;27;0
ABDOU;1198;0
ABDOU-AZIZ;40;0
ABDOU-KARIM;50;0
ABDOU-RAHMAN;41;0
ABDOU-RAHMANE;28;0
ABDOU-SALAM;27;0
ABDOUALLAH;38;0
ABDOUKARIM;35;0
ABDOUL;1721;0
ABDOUL-ANZIZ;48;0
ABDOUL-AZIZ;214;0
ABDOUL-HAKIM;31;0
ABDOUL-HALIM;21;0
ABDOUL-HAMID;24;0
ABDOUL-KADER;62;0
ABDOUL-KARIM;242;0
ABDOUL-MADJID;24;0
ABDOUL-MALIK;80;0
ABDOUL-RAHIM;31;0
ABDOUL-RAHMAN;22;0
ABDOUL-SALAM;20;0
ABDOUL-WAHAB;31;0
ABDOULA;59;0
ABDOULAH;169;0
ABDOULAHI;36;0
ABDOULAI;28;0
ABDOULATIF;26;0
ABDOULATUF;22;0
ABDOULAY;136;0
ABDOULAYE;4059;0
ABDOULAZIZ;65;0
ABDOULHAKIM;37;0
ABDOULHALIM;22;0
ABDOULHAMID;24;0
ABDOULKADER;49;0
ABDOULKARIM;118;0
ABDOULLA;30;0
ABDOULLAH;883;0
ABDOULLAHI;23;0
ABDOULLAYE;38;0
ABDOULMALIK;21;0
ABDOULWAHAB;25;0
ABDOURAHAMANE;113;0
ABDOURAHIM;70;0
ABDOURAHMAN;128;0
ABDOURAHMANE;387;0
ABDOURAMANE;46;0
ABDOURAOUF;24;0
ABDOURAZAK;26;0
ABDOUROIHAMANE;39;0
ABDOURRAHMAN;51;0
ABDOURRAHMANE;59;0
ABDOUSALAM;20;0
ABDOUSSAMAD;20;0
ABDRAHAMANE;87;0
ABDRAHIM;70;0
ABDRAHMAN;87;0
ABDRAHMANE;87;0
ABDRAMANE;196;0
ABDSAMAD;85;0
ABDU;21;0
ABDUL;477;0
ABDUL-AZIZ;29;0
ABDUL-KADIR;32;0
ABDUL-KARIM;28;0
ABDUL-KERIM;21;0
ABDUL-MALIK;45;0
ABDUL-RAHMAN;49;0
ABDUL-SAMET;32;0
ABDULAH;55;0
ABDULAZIZ;46;0
ABDULBAKI;50;0
ABDULHAMID;72;0
ABDULKADIR;148;0
ABDULKERIM;53;0
ABDULLA;57;0
ABDULLAH;1679;0
ABDULLATIF;20;0
ABDULMALIK;22;0
ABDULRAHMAN;79;0
ABDULSAMED;23;0
ABDULSAMET;30;0
ABDURAHMAN;93;0
ABDURRAHIM;42;0
ABDURRAHMAN;252;0
ABDUSSAMED;45;0
ABED;606;0
ABEER;0;28
ABEL;27499;202
ABELARD;35;0
ABELARDO;23;0
ABELE;0;47
ABELIA;0;145
ABELINA;0;70
ABELINE;0;171
ABELINO;25;0
ABELLA;0;149
ABELLE;0;204
ABERT;21;0
ABES;68;0
ABESS;27;0
ABI;23;114
ABIB;107;0
ABIBA;0;191
ABIBATA;0;28
ABIBATOU;0;95
ABIBOU;27;0
ABID;136;0
ABIDA;0;75
ABIDIN;28;0
ABIDINE;27;0
ABIE;0;48
ABIEL;22;0
ABIGAEL;51;2821
ABIGAELLE;0;3125
ABIGAHEL;0;56
ABIGAIL;0;2743
ABIHA;0;35
ABIL;20;0
ABILASH;43;0
ABILIO;280;0
ABIMAEL;31;0
ABINA;0;21
ABINASH;59;0
ABINAYA;0;139
ABINESH;26;0
ABIOLA;27;0
ABIR;26;532
ABIRA;0;72
ABIRAM;25;0
ABIRAMI;0;52
ABIRAMY;0;31
ABIRE;0;54
ABISAN;30;0
ABISHA;0;105
ABISHAN;79;0
ABISHEK;28;0
ABLA;0;420
ABLAYE;101;0
ABNER;28;0
ABOU;952;25
ABOU-BAKAR;61;0
ABOU-BAKER;26;0
ABOU-BAKR;194;0
ABOU-SOFIANE;27;0
ABOUBACAR;2089;0
ABOUBACAR-SIDIKI;29;0
ABOUBACARI;27;0
ABOUBACARY;41;0
ABOUBACRI;23;0
ABOUBACRY;48;0
ABOUBAKA;37;0
ABOUBAKAR;1308;0
ABOUBAKARI;86;0
ABOUBAKARY;166;0
ABOUBAKER;153;0
ABOUBAKR;339;0
ABOUBAKRE;25;0
ABOUBAKRI;46;0
ABOUBAKRY;91;0
ABOUDOU;80;0
ABOUDOULAYE;41;0
ABOUDRAMANE;42;0
ABOULAY;23;0
ABOULAYE;198;0
ABRAHAM;2683;0
ABRAHIM;47;0
ABRAM;65;0
ABRAR;36;122
ABRIEL;301;0
ABRIL;0;53
ABSA;0;70
ABSATOU;0;50
ABU;57;0
ABU-BAKR;30;0
ABUBAKAR;57;0
ABUBAKR;23;0
ABY;0;891
ABY-GAELLE;0;51
ABYGAEL;0;746
ABYGAELLE;0;1606
ABYGAIL;0;302
ACACIA;0;129
ACACIO;73;0
ACE;42;0
ACELIA;0;22
ACELYA;0;492
ACENE;27;0
ACHATA;0;22
ACHER;68;0
ACHERAF;29;0
ACHIDA;0;20
ACHIL;92;0
ACHILE;238;0
ACHILLE;16836;179
ACHILLES;121;0
ACHILLIA;0;29
ACHIM;70;0
ACHLEY;0;33
ACHMI;22;0
ACHOT;31;0
ACHOUAK;0;49
ACHOUR;346;0
ACHOURA;0;29
ACHRAF;2095;30
ACHRAFE;48;0
ACHREF;50;0
ACHTA;0;28
ACHWAK;0;35
ACHYL;22;0
ACIA;0;85
ACIL;139;99
ACILE;0;112
ACYA;0;26
ACYL;58;20
ADA;71;1237
ADAAM;20;0
ADAEL;23;0
ADAL;31;0
ADALBERT;453;0
ADALGISA;0;25
ADALIA;0;26
ADALINA;0;26
ADALIND;0;21
ADALINE;0;479
ADALYNE;0;72
ADALYNN;0;26
ADAM;76445;128
ADAM'S;32;0
ADAM-MOHAMED;20;0
ADAMA;2727;1078
ADAME;1727;90
ADAMM;41;0
ADAMO;99;0
ADAMS;275;0
ADAN;1303;0
ADANA;0;20
ADANE;65;0
ADANNA;0;20
ADAO;111;0
ADAR;195;0
ADASSA;0;58
ADAYA;0;22
ADDA;188;209
ADDAM;41;0
ADDEL;32;0
ADDI;20;0
ADDIL;36;0
ADDISON;44;112
ADDOLORATA;0;37
ADDY;29;0
ADDYSON;0;32
ADEA;0;58
ADEEL;35;0
ADEL;9164;32
ADELA;0;791
ADELAIDA;0;32
ADELAIDE;269;12361
ADELAIS;0;61
ADELBERT;117;0
ADELE;101;47546
ADELE-ROSE;0;22
ADELEINE;0;30
ADELHEID;0;69
ADELIA;0;1333
ADELICE;0;46
ADELIE;0;2892
ADELIN;816;0
ADELINA;0;1954
ADELINE;0;54505
ADELINO;378;0
ADELIO;139;0
ADELISA;0;38
ADELISE;0;69
ADELITA;0;33
ADELLA;0;29
ADELLE;0;152
ADELMA;0;31
ADELMO;35;0
ADELPHE;74;0
ADELPHINE;0;352
ADELSON;139;0
ADELYA;0;141
ADELYNE;0;280
ADELYS;0;38
ADEM;12124;0
ADEMA;0;26
ADEMAR;47;0
ADEME;160;0
ADEN;950;46
ADENA;0;36
ADENISE;0;20
ADENN;20;0
ADENORA;0;95
ADEODAT;30;0
ADERITO;120;0
ADHAM;373;0
ADHAN;160;0
ADHANE;20;0
ADHEM;67;0
ADHEMAR;216;0
ADHEN;88;0
ADHIRA;0;31
ADI;105;29
ADIA;0;120
ADIANA;0;24
ADIARA;0;20
ADIARATOU;0;57
ADIB;524;0
ADIBA;0;47
ADIDI;0;26
ADIDJA;0;46
ADIEL;41;0
ADIJA;0;26
ADIL;5523;0
ADILA;0;139
ADILE;294;59
ADILIA;0;51
ADILIO;20;0
ADILLE;23;0
ADILSON;106;0
ADIM;87;0
ADIN;83;0
ADINA;0;175
ADINANE;20;0
ADINE;0;180
ADIS;72;0
ADISA;0;40
ADISON;0;20
ADISSA;0;29
ADISSON;0;34
ADITHYA;33;0
ADITI;0;40
ADITYA;90;0
ADIXIA;0;239
ADIZA;0;23
ADJA;0;617
ADJARA;0;57
ADJARATOU;0;57
ADJI;40;124
ADJIA;0;75
ADJILA;0;77
ADJIRA;0;24
ADJMAL;41;0
ADJO;0;21
ADJOA;0;20
ADJOUA;0;27
ADLAN;140;0
ADLANE;238;0
ADLEN;165;0
ADLENE;210;0
ADLER;21;0
ADLEY;22;0
ADLI;23;0
ADLINE;0;123
ADLYNE;0;28
ADMIR;62;0
ADNA;0;86
ADNAN;1024;0
ADNANE;1022;0
ADNEN;80;0
ADNENE;66;0
ADOLF;56;0
ADOLFO;175;0
ADOLIE;0;25
ADOLINE;0;23
ADOLPH;59;0
ADOLPHA;0;43
ADOLPHE;16435;124
ADOLPHINE;0;2203
ADON;34;0
ADONAI;184;71
ADONAY;39;37
ADONIA;0;78
ADONIE;0;22
ADONIS;1960;0
ADONISE;0;37
ADONYS;93;0
ADORA;0;62
ADORACION;0;68
ADORATION;0;91
ADOU;26;0
ADOUM;23;0
ADRA;0;40
ADRIA;0;270
ADRIAAN;35;0
ADRIAN;5956;0
ADRIANA;0;3352
ADRIANE;0;491
ADRIANN;145;0
ADRIANNA;0;393
ADRIANNE;0;203
ADRIANO;2690;0
ADRIEL;1014;0
ADRIELLE;0;83
ADRIEN;138240;35
ADRIENNE;0;34935
ADRINA;0;25
ADRYA;0;26
ADRYAN;279;0
ADRYANA;0;80
ADRYANN;40;0
ADRYANNA;0;20
ADRYANO;33;0
ADRYEL;37;0
ADRYEN;161;0
ADVIK;39;0
ADVIKA;0;26
ADY;36;27
ADYAN;48;0
ADYL;126;0
ADYSON;0;41
ADYSSON;0;52
ADZO;20;0
AEDAN;1280;0
AEDANN;33;0
AEDEN;397;0
AEDHAN;20;0
AEGON;24;0
AEL;795;148
AELA;0;1034
AELAIG;0;22
AELAN;22;0
AELIA;0;1068
AELIE;0;60
AELIG;206;178
AELINE;0;141
AELIS;0;406
AELITA;0;55
AELLA;0;81
AELLE;0;195
AELY;0;66
AELYA;0;386
AELYAH;0;24
AELYN;0;37
AELYNE;0;118
AELYNN;0;123
AELYS;0;1579
AENA;0;102
AENAELLE;0;35
AENOR;0;370
AENORA;0;27
AERIN;0;20
AERIS;0;365
AERITH;0;54
AERON;74;0
AERYN;0;147
AERYNE;0;30
AERYS;0;75
AESA;0;76
AFAF;0;325
AFAFE;0;55
AFDAL;33;0
AFEDA;0;21
AFEF;0;175
AFENI;0;26
AFFAF;0;34
AFFAN;46;0
AFFEF;0;23
AFFIF;52;0
AFFOU;0;28
AFFOUE;0;22
AFFOUSSIATA;0;24
AFI;0;38
AFIA;0;76
AFID;52;0
AFIDA;0;149
AFIF;353;0
AFIFA;0;163
AFIYA;0;27
AFNAN;25;146
AFNANE;0;343
AFNEN;0;26
AFNENE;0;58
AFONSO;308;0
AFRA;0;64
AFRAH;0;58
AFRAHIM;63;0
AFRICA;0;34
AFRIM;26;0
AFSA;0;50
AFSANA;0;24
AFTAB;26;0
AFTON;0;50
AFTONE;0;28
AFZAL;30;0
AGAPITO;21;0
AGAR;0;21
AGASH;45;0
AGATA;0;255
AGATE;0;350
AGATHA;0;726
AGATHE;212;56477
AGATHON;78;0
AGENOR;250;0
AGHILAS;136;0
AGHILES;185;0
AGIM;37;0
AGIT;60;0
AGLAE;0;2041
AGLAEE;0;301
AGLAIA;0;20
AGNAN;331;124
AGNEL;96;0
AGNELA;0;38
AGNELLA;0;23
AGNES;276;113125
AGNES-MARIE;0;57
AGNESA;0;41
AGNESE;0;190
AGNIELA;0;43
AGNIES;0;50
AGNIESZKA;0;43
AGOP;91;0
AGOSTINA;0;39
AGOSTINHO;289;0
AGOSTINO;336;0
AGRIPPINE;0;24
AGRON;24;0
AGUEDA;0;60
AGUIBOU;52;0
AGUSTIN;218;0
AGUSTINA;0;76
AGUSTINHO;61;0
AGUSTINO;22;0
AH;32;21
AHAD;50;0
AHAMAD;22;0
AHAMADA;85;0
AHAMADI;37;0
AHAMADOU;65;0
AHAMED;88;0
AHANA;0;30
AHARON;307;0
AHARONE;23;0
AHAVA;0;69
AHCEN;90;0
AHCENE;685;0
AHED;0;29
AHIL;22;0
AHKIM;29;0
AHLAM;0;921
AHLAME;0;276
AHLAN;34;0
AHLEM;0;1387
AHLEME;0;137
AHLIMA;0;37
AHLLAM;0;20
AHMAD;1316;0
AHMADA;22;0
AHMADOU;318;0
AHMADOU-BAMBA;38;0
AHMAR;29;0
AHMAT;61;0
AHMED;22289;0
AHMED-ALI;43;0
AHMED-AMIN;25;0
AHMED-AMINE;136;0
AHMED-TIDIANE;28;0
AHMED-YACINE;59;0
AHMED-YASSINE;87;0
AHMEL;0;24
AHMET;2682;0
AHMET-CAN;37;0
AHMETCAN;22;0
AHMID;116;0
AHNA;0;31
AHNAF;27;0
AHOU;0;36
AHOUA;0;31
AHOUVA;0;32
AHRON;54;0
AHSAN;40;0
AHSEN;0;142
AHSENE;22;0
AHYAN;37;0
AHYNA;0;25
AI;0;49
AIA;0;38
AIAN;25;0
AIANA;0;56
AICHA;0;18203
AICHAT;0;67
AICHATA;0;224
AICHATOU;0;227
AICHE;0;111
AICHETOU;0;38
AICHOUCHE;0;35
AID;44;0
AIDA;0;4080
AIDAN;2513;0
AIDANN;111;0
AIDEE;0;129
AIDEM;26;0
AIDEN;2841;95
AIDENN;33;0
AIDI;0;22
AIFA;0;22
AIGLINE;0;33
AIGNAN;44;0
AIHAM;21;0
AIKEL;40;0
AIKO;110;264
AILA;0;155
AILAN;47;0
AILEEN;0;413
AILEY;28;56
AILINE;0;87
AILIS;0;59
AILSA;0;26
AILVIN;29;0
AILY;0;81
AILYN;0;24
AILYNE;0;93
AILYS;0;153
AIMA;0;351
AIMABLE;1085;129
AIMAD;231;0
AIMADE;27;0
AIMAN;437;23
AIMANE;427;25
AIMAR;29;0
AIME;40130;154
AIMED;85;0
AIMEE;90;28323
AIMEL;0;23
AIMELINE;0;129
AIMELYNE;0;53
AIMEN;906;21
AIMENE;71;0
AIMERIC;752;0
AIMERICK;140;0
AIMERIK;20;0
AIMERY;302;0
AIMERYC;30;0
AIMI;0;25
AIMIE;0;1066
AIMINE;28;0
AIMMEE;0;49
AIMRAN;38;0
AIMRANE;35;0
AIMY;0;1725
AINA;118;1811
AINAH;0;44
AINARA;0;241
AINES;0;93
AINHOA;0;1612
AINI;0;82
AINIS;30;0
AINNA;0;23
AINOA;0;376
AINOHA;0;120
AINSLEY;34;21
AINTZANE;0;29
AIOUB;31;0
AIRA;0;21
AIRELLE;0;115
AIRES;29;0
AIRON;81;0
AIRY;61;0
AISA;0;21
AISAM;33;0
AISATA;0;36
AISATOU;0;48
AISE;0;43
AISETOU;0;33
AISHA;0;1810
AISHWARYA;0;69
AISLING;0;40
AISLINN;0;68
AISOSA;0;34
AISSA;3877;798
AISSAM;561;0
AISSAME;37;0
AISSAR;21;0
AISSATA;0;2896
AISSATOU;0;2603
AISSE;0;667
AISSETA;0;180
AISSETOU;0;446
AISSIA;0;114
AISSYA;0;32
AITA;0;74
AITANA;0;263
AITO;23;0
AITOR;236;0
AIVY;0;222
AIWEN;80;0
AIXANDRE;29;0
AIYA;0;219
AIYANA;0;433
AIYANNA;0;81
AIYOUB;28;0
AIZA;0;130
AIZAH;0;25
AIZEN;24;0
AJAD;26;0
AJAN;153;0
AJANA;0;31
AJANTHAN;27;0
AJAR;0;72
AJAY;188;0
AJDA;0;23
AJDIN;48;0
AJEESH;29;0
AJLA;0;140
AJMAL;25;0
AJNA;0;51
AJWAD;24;0
AKA;40;0
AKALYA;0;21
AKAN;42;0
AKANE;0;30
AKARAN;36;0
AKASH;143;0
AKASHA;0;20
AKASYA;0;33
AKAY;25;0
AKBAR;32;0
AKCEL;36;0
AKCIL;21;0
AKEEM;59;0
AKELA;0;32
AKEMI;0;42
AKHEANE;0;33
AKHENATON;24;0
AKHESA;0;24
AKHIL;34;0
AKHIM;29;0
AKHMAD;40;0
AKHMED;39;0
AKI;23;0
AKIF;294;0
AKIKO;0;35
AKIL;339;0
AKILA;0;678
AKILAH;0;21
AKILAN;33;0
AKIM;3801;0
AKIMA;0;470
AKIME;47;0
AKIN;336;0
AKINA;0;51
AKIO;44;0
AKIRA;184;78
AKISSI;0;74
AKITO;25;0
AKIVA;79;0
AKLI;711;0
AKMAL;68;0
AKMAR;41;0
AKO;25;0
AKRAM;2288;0
AKRAME;103;0
AKREM;42;0
AKSA;0;27
AKSEL;2684;31
AKSHA;0;25
AKSHAN;25;0
AKSHANA;0;29
AKSHARA;0;121
AKSHAY;65;0
AKSHAYA;0;185
AKSHAYAN;81;0
AKSHITH;22;0
AKSIL;891;0
AKSIM;38;0
AKSYL;39;0
AKYM;43;0
AL;461;48
AL-AMINE;40;0
AL-HASSAN;71;0
AL-HASSANE;27;0
ALA;97;121
ALA-EDDINE;68;0
ALAA;166;882
ALAA-EDDINE;48;0
ALABAMA;0;51
ALADDIN;40;0
ALADIN;214;0
ALADINE;45;0
ALADJI;129;0
ALAE;63;360
ALAEDDINE;220;0
ALAEDINE;47;0
ALAIA;0;560
ALAIN;506965;34
ALAIN-CLAUDE;33;0
ALAIN-FRANCOIS;20;0
ALAIN-JEAN;26;0
ALAIN-MICHEL;46;0
ALAIN-PAUL;25;0
ALAIN-PHILIPPE;21;0
ALAIN-PIERRE;89;0
ALAINA;0;161
ALAINE;0;28
ALAIS;0;1153
ALAITZ;0;24
ALAM;25;0
ALAN;20746;0
ALANA;0;2447
ALANAH;0;57
ALANDRA;0;25
ALANE;367;0
ALANIS;0;252
ALANN;743;0
ALANNA;0;203
ALANNAH;0;144
ALANYS;0;22
ALANZO;99;0
ALAOUA;29;0
ALAOUI;31;0
ALARA;0;65
ALARIC;924;0
ALARICK;68;0
ALARIK;23;0
ALASANE;29;0
ALASSAN;85;0
ALASSANA;27;0
ALASSANE;1332;0
ALASTAIR;41;0
ALAYA;25;201
ALAYAH;0;42
ALAYNA;0;199
ALAYS;0;27
ALAZ;52;0
ALBA;0;8959
ALBAIN;199;0
ALBAN;28319;92
ALBANA;0;32
ALBANE;0;12870
ALBANIE;0;1048
ALBANNE;0;215
ALBANO;230;0
ALBANS;25;0
ALBARO;21;0
ALBENA;0;22
ALBERIC;2026;0
ALBERICK;23;0
ALBERIE;26;21
ALBERT;204307;99
ALBERTA;0;467
ALBERTE;0;9152
ALBERTHE;0;79
ALBERTI;20;0
ALBERTIN;29;0
ALBERTINA;0;250
ALBERTINE;0;28207
ALBERTINO;71;0
ALBERTO;2176;0
ALBERTUS;33;0
ALBI;33;0
ALBIN;5650;0
ALBINA;0;441
ALBINE;0;1370
ALBINO;348;0
ALBION;56;0
ALBRECHT;44;0
ALCE;52;0
ALCEE;71;0
ALCIBIADE;47;0
ALCIDA;0;161
ALCIDE;3632;26
ALCIDES;42;0
ALCIDIE;0;182
ALCIME;390;0
ALCINA;0;102
ALCINDA;0;22
ALCINE;20;29
ALCINO;111;0
ALCYONE;0;35
ALDA;0;532
ALDE;50;0
ALDEBERT;28;0
ALDEGONDE;0;109
ALDEN;34;0
ALDERIC;261;0
ALDERICK;31;0
ALDIN;87;0
ALDINA;0;183
ALDINE;0;75
ALDINO;28;0
ALDIOUMA;0;20
ALDJA;0;48
ALDJIA;0;246
ALDO;3619;0
ALDONCE;22;0
ALDRIC;1134;0
ALDRICK;183;0
ALDRIK;47;0
ALDRIN;23;0
ALDWIN;159;0
ALEA;0;196
ALEANDRA;0;28
ALEANDRO;134;0
ALEAUME;20;0
ALEC;1778;24
ALECIA;0;133
ALECIO;76;0
ALECK;152;0
ALEENA;0;103
ALEESHA;0;27
ALEEYAH;0;34
ALEEZA;0;31
ALEGRIA;0;63
ALEHANDRO;20;0
ALEINA;0;77
ALEISTER;21;0
ALEIX;22;0
ALEJANDRA;0;83
ALEJANDRO;680;0
ALEK;372;0
ALEKS;125;0
ALEKSA;99;0
ALEKSANDAR;676;0
ALEKSANDER;247;0
ALEKSANDR;94;0
ALEKSANDRA;0;565
ALEKSANDRE;130;0
ALEKSEI;91;0
ALEKSEJ;21;0
ALEKSEY;41;0
ALEKSI;133;0
ALEKSIA;0;44
ALEKSY;85;0
ALEM;65;29
